[DATA] lang=ja_en shard=2/8 candidates=1596 all_entity_candidates=12765
[DATA] loaded attrs=845 rels=1596
[LLM] loading /gly/tongqiang/lxwlxwlxw/HomeBenchReproduction/models/llama3-8b-Instruct on cuda
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 106.36it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
[1/1596] id=36 -> Entity conf=1.00
[2/1596] id=73 -> Entity conf=0.90
[3/1596] id=117 -> Entity conf=0.90
[4/1596] id=182 -> Entity conf=0.90
[5/1596] id=311 -> Person conf=0.90
[6/1596] id=393 -> Organization conf=0.90
[7/1596] id=496 -> Entity conf=0.90
[8/1596] id=561 -> Entity conf=0.90
[9/1596] id=664 -> Entity conf=0.80
[10/1596] id=743 -> Entity conf=0.90
[11/1596] id=812 -> Entity conf=1.00
[12/1596] id=954 -> Entity conf=0.90
[13/1596] id=1044 -> Entity conf=0.90
[14/1596] id=1095 -> Entity conf=0.80
[15/1596] id=1182 -> Creative Work conf=0.90
[16/1596] id=1275 -> Organization conf=0.90
[17/1596] id=1331 -> Entity conf=0.90
[18/1596] id=1389 -> Entity conf=0.80
[19/1596] id=1484 -> Event conf=0.90
[20/1596] id=1575 -> Entity conf=0.80
[21/1596] id=1644 -> Organization conf=0.90
[22/1596] id=1682 -> Entity conf=0.90
[23/1596] id=1810 -> Entity conf=0.90
[24/1596] id=1892 -> Person conf=0.90
[25/1596] id=1953 -> Entity conf=0.90
[26/1596] id=2033 -> Creative Work conf=0.80
[27/1596] id=2136 -> Entity conf=0.90
[28/1596] id=2249 -> Entity conf=0.90
[29/1596] id=2320 -> Organization conf=0.90
[30/1596] id=2405 -> Creative Work conf=0.90
[31/1596] id=2487 -> Entity conf=0.90
[32/1596] id=2580 -> Entity conf=0.80
[33/1596] id=2628 -> Entity conf=0.80
[34/1596] id=2719 -> Entity conf=0.90
[35/1596] id=2811 -> Entity conf=0.90
[36/1596] id=2938 -> Entity conf=0.90
[37/1596] id=2966 -> Creative Work conf=0.90
[38/1596] id=3043 -> Entity conf=0.90
[39/1596] id=3107 -> Person conf=0.90
[40/1596] id=3171 -> Entity conf=0.90
[41/1596] id=3237 -> Person conf=0.80
[42/1596] id=3295 -> Entity conf=0.90
[43/1596] id=3451 -> Entity conf=0.90
[44/1596] id=3539 -> Entity conf=0.90
[45/1596] id=3607 -> Place conf=0.90
[46/1596] id=3658 -> Entity conf=1.00
[47/1596] id=3713 -> Person conf=0.80
[48/1596] id=3824 -> Entity conf=0.90
[49/1596] id=3923 -> Entity conf=1.00
[50/1596] id=3986 -> Event conf=0.90
[51/1596] id=4066 -> Organization conf=0.90
[52/1596] id=4158 -> Organization conf=0.90
