[DATA] lang=zh_en shard=5/8 candidates=1865 all_entity_candidates=14920
[DATA] loaded attrs=1082 rels=1865
[LLM] loading /gly/tongqiang/lxwlxwlxw/HomeBenchReproduction/models/llama3-8b-Instruct on cuda
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 103.87it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
[1/1865] id=52 -> Place conf=0.90
[2/1865] id=156 -> Entity conf=0.80
[3/1865] id=188 -> Place conf=0.90
[4/1865] id=241 -> Entity conf=0.80
[5/1865] id=303 -> Place conf=0.90
[6/1865] id=401 -> Entity conf=0.80
[7/1865] id=461 -> Person conf=0.90
[8/1865] id=578 -> Entity conf=0.80
[9/1865] id=609 -> Entity conf=0.90
[10/1865] id=700 -> Organization conf=0.90
[11/1865] id=778 -> Entity conf=0.90
[12/1865] id=870 -> Event conf=0.90
[13/1865] id=901 -> Entity conf=0.90
[14/1865] id=1018 -> Organization conf=0.90
[15/1865] id=1100 -> Entity conf=0.90
[16/1865] id=1177 -> Creative Work conf=0.90
[17/1865] id=1239 -> Entity conf=0.90
[18/1865] id=1310 -> Entity conf=0.80
[19/1865] id=1402 -> Entity conf=0.90
[20/1865] id=1479 -> Entity conf=0.80
[21/1865] id=1580 -> Entity conf=0.90
[22/1865] id=1678 -> Entity conf=0.90
[23/1865] id=1777 -> Person conf=0.90
[24/1865] id=1893 -> Entity conf=0.90
[25/1865] id=1966 -> Place conf=0.90
[26/1865] id=2119 -> Entity conf=0.90
[27/1865] id=2165 -> Entity conf=0.90
[28/1865] id=2262 -> Entity conf=0.90
[29/1865] id=2344 -> Entity conf=0.90
[30/1865] id=2433 -> Entity conf=0.90
[31/1865] id=2469 -> Entity conf=0.90
[32/1865] id=2623 -> Organization conf=0.80
[33/1865] id=2750 -> Entity conf=0.80
