idx,query_id,gt_id,type,gt_type,type_mismatch,degree,degree_bin,baseline_correct,cdmr_correct,group,baseline_rank,cdmr_rank,baseline_ret1,cdmr_ret1,baseline_img,baseline_attr,baseline_rel,baseline_graph,cdmr_img,cdmr_attr,cdmr_rel,cdmr_graph,delta_img,delta_attr,delta_rel,delta_graph
0,3599,25972,Creative Work,Creative Work,False,170.0,high_degree,True,False,harmed,0,2,25972,27593,0.3279385566711426,0.22399580478668213,0.1460198611021042,0.3020457923412323,0.2017596960067749,0.2291102558374405,0.10454663634300232,0.4645833373069763,-0.12617886066436768,0.005114451050758362,-0.04147322475910187,0.16253754496574402
1,490,18543,Organization,Organization,False,25.0,low_degree,False,False,both_wrong,1,1,25190,23489,0.266045480966568,0.25894859433174133,0.20920751988887787,0.2657983601093292,0.20572888851165771,0.22819042205810547,0.18435926735401154,0.38172149658203125,-0.06031659245491028,-0.030758172273635864,-0.024848252534866333,0.11592313647270203
2,5124,23110,Person,Person,False,104.0,high_degree,True,True,both_correct,0,0,23110,23110,0.2799246907234192,0.286418616771698,0.15667374432086945,0.2769829034805298,0.20581458508968353,0.3301440477371216,0.1149229183793068,0.3491184413433075,-0.07411010563373566,0.043725430965423584,-0.04175082594156265,0.07213553786277771
3,4764,15576,Person,Person,False,57.0,mid_degree,False,False,both_wrong,51,425,24082,23967,0.26858845353126526,0.2692410349845886,0.1953839808702469,0.26678651571273804,0.20000667870044708,0.3142858147621155,0.14513789117336273,0.3405696451663971,-0.06858177483081818,0.045044779777526855,-0.050246089696884155,0.07378312945365906
4,4130,25815,Organization,Organization,False,25.0,low_degree,False,False,both_wrong,133,107,25967,25967,0.27717509865760803,0.25523847341537476,0.1950162649154663,0.2725701332092285,0.21379084885120392,0.2243439257144928,0.17141267657279968,0.3904525339603424,-0.06338424980640411,-0.030894547700881958,-0.023603588342666626,0.11788240075111389
5,1217,22301,Organization,Organization,False,47.0,mid_degree,False,False,both_wrong,20,7,16718,16718,0.2914520800113678,0.2733914256095886,0.14889425039291382,0.2862622141838074,0.22344736754894257,0.23886698484420776,0.13009271025657654,0.4075929522514343,-0.06800471246242523,-0.03452444076538086,-0.01880154013633728,0.12133073806762695
6,11783,24676,Organization,Organization,False,24.0,low_degree,False,False,both_wrong,91,141,24796,25430,0.2684580087661743,0.25751128792762756,0.19834265112876892,0.2756880819797516,0.20651684701442719,0.2257404774427414,0.1738733947277069,0.3938692808151245,-0.06194116175174713,-0.03177081048488617,-0.02446925640106201,0.11818119883537292
7,5182,26910,Person,Person,False,76.0,high_degree,True,True,both_correct,0,0,26910,26910,0.2707365155220032,0.2736865282058716,0.18407973647117615,0.2714971899986267,0.20071211457252502,0.31809288263320923,0.1361490786075592,0.34504589438438416,-0.07002440094947815,0.044406354427337646,-0.04793065786361694,0.07354870438575745
8,8647,24165,Organization,Organization,False,42.0,mid_degree,False,False,both_wrong,37,40,23852,24649,0.27401989698410034,0.2655980587005615,0.18031053245067596,0.2800714671611786,0.21040894091129303,0.23241116106510162,0.15778182446956635,0.3993980288505554,-0.06361095607280731,-0.0331868976354599,-0.02252870798110962,0.11932656168937683
9,10993,18527,Person,Person,False,104.0,high_degree,True,True,both_correct,0,0,18527,18527,0.2788139879703522,0.28428006172180176,0.1580868810415268,0.27881911396980286,0.20499004423618317,0.32764363288879395,0.1159469485282898,0.3514194190502167,-0.073823943734169,0.04336357116699219,-0.042139932513237,0.07260030508041382
